STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP10,DP1X,EMXP,PRCP,DSND,DSNW,EMSD,EMSN,SNOW,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,HDSD,HTDD,TAVG,TMAX,TMIN,DYTS
USC00512146,1899-01-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",15.0,3.0,2.0,59.2,102.3,0.0,0.0,0.0,0.0,0.0,96.2,96.2,0.0,0.0,0.0,30.0,0.0,13.3,27.2,0.0,0.0,21.59,25.68,17.5,2.0
USC00512146,1899-02-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",15.0,3.0,2.0,59.2,102.3,0.0,0.0,0.0,0.0,0.0,210.2,114.0,0.0,0.0,0.0,28.0,0.0,16.7,27.2,0.0,0.0,22.4,25.83,18.98,2.0
USC00512146,1899-03-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",14.0,5.0,2.0,42.7,125.1,0.0,0.0,0.0,0.0,0.0,330.1,119.9,0.0,0.0,0.0,30.0,0.0,13.9,27.8,0.0,0.0,22.2,25.84,18.57,2.0
USC00512146,1899-04-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",19.0,4.0,0.0,4.1,27.4,0.0,0.0,0.0,0.0,0.0,464.6,134.5,0.0,0.0,0.0,30.0,0.0,15.0,27.8,0.0,0.0,22.82,26.26,19.37,2.0
USC00512146,1899-05-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",19.0,6.0,0.0,21.8,62.1,0.0,0.0,0.0,0.0,0.0,637.0,172.4,0.0,0.0,0.0,31.0,0.0,18.3,28.9,0.0,0.0,23.9,26.94,20.85,2.0
USC00512146,1899-06-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",21.0,4.0,0.0,5.1,29.2,0.0,0.0,0.0,0.0,0.0,827.3,190.3,0.0,0.0,0.0,30.0,0.0,20.0,28.9,0.0,0.0,24.68,27.92,21.43,2.0
USC00512146,1899-07-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",13.0,1.0,0.0,2.5,10.9,0.0,0.0,0.0,0.0,0.0,1044.7,217.4,0.0,0.0,0.0,31.0,0.0,17.2,30.6,0.0,0.0,25.35,28.84,21.86,2.0
USC00512146,1899-08-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",20.0,6.0,0.0,7.1,39.1,0.0,0.0,0.0,0.0,0.0,1277.2,232.5,0.0,0.0,0.0,31.0,0.0,19.4,30.0,0.0,0.0,25.83,28.89,22.77,2.0
USC00512146,1899-09-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",19.0,1.0,0.0,3.6,21.8,0.0,0.0,0.0,0.0,0.0,1498.8,221.6,0.0,0.0,0.0,30.0,0.0,20.6,29.4,0.0,0.0,25.72,28.6,22.83,2.0
USC00512146,1899-10-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",18.0,8.0,1.0,35.6,102.2,0.0,0.0,0.0,0.0,0.0,1696.1,197.3,0.0,0.0,0.0,31.0,0.0,17.8,29.4,0.0,0.0,24.7,27.44,21.96,2.0
USC00512146,1899-11-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",11.0,2.0,0.0,5.3,17.2,0.0,0.0,0.0,0.0,0.0,1849.5,153.4,0.0,0.0,0.0,30.0,0.0,17.2,27.8,0.0,0.0,23.45,26.3,20.59,2.0
USC00512146,1899-12-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",9.0,2.0,1.0,41.7,47.2,0.0,0.0,0.0,0.0,0.0,1968.9,119.4,0.0,0.0,0.0,28.0,0.0,16.1,28.3,0.0,0.0,22.7,26.69,18.7,2.0
USC00512146,1900-01-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",12.0,2.0,0.0,4.1,18.9,0.0,0.0,0.0,0.0,0.0,103.4,103.4,0.0,0.0,0.0,31.0,0.0,15.0,27.2,0.0,0.0,21.67,25.18,18.16,2.0
USC00512146,1900-02-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",10.0,4.0,0.0,13.5,29.2,0.0,0.0,0.0,0.0,0.0,189.4,86.0,0.0,0.0,0.0,28.0,0.0,12.8,27.8,0.0,0.0,21.41,25.09,17.73,2.0
USC00512146,1900-03-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",17.0,4.0,0.0,15.2,42.6,0.0,0.0,0.0,0.0,0.0,318.3,128.9,0.0,0.0,0.0,31.0,0.0,15.0,27.8,0.0,0.0,22.49,26.18,18.8,2.0
USC00512146,1900-04-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",19.0,13.0,1.0,33.8,132.9,0.0,0.0,0.0,0.0,0.0,455.3,137.0,0.0,0.0,0.0,30.0,0.0,16.1,29.4,0.0,0.0,22.9,26.35,19.45,2.0
USC00512146,1900-05-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",25.0,8.0,0.0,7.6,40.9,0.0,0.0,0.0,0.0,0.0,633.2,177.9,0.0,0.0,0.0,31.0,0.0,17.8,28.3,0.0,0.0,24.07,27.05,21.1,2.0
USC00512146,1900-06-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",14.0,1.0,0.0,10.2,22.6,0.0,0.0,0.0,0.0,0.0,856.4,223.2,0.0,0.0,0.0,30.0,0.0,19.4,31.1,0.0,0.0,25.77,29.24,22.31,2.0
USC00512146,1900-07-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",24.0,9.0,0.0,10.4,66.0,0.0,0.0,0.0,0.0,0.0,1104.7,248.3,0.0,0.0,0.0,31.0,0.0,20.0,31.1,0.0,0.0,26.34,29.63,23.05,2.0
USC00512146,1900-08-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",25.0,7.0,0.0,7.6,50.8,0.0,0.0,0.0,0.0,0.0,1353.8,249.1,0.0,0.0,0.0,30.0,0.0,20.6,31.7,0.0,0.0,26.62,29.57,23.67,2.0
USC00512146,1900-09-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",21.0,6.0,0.0,12.2,38.5,0.0,0.0,0.0,0.0,0.0,1596.3,242.5,0.0,0.0,0.0,30.0,0.0,21.1,31.1,0.0,0.0,26.42,29.63,23.2,2.0
USC00512146,1900-10-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",23.0,15.0,1.0,68.1,174.8,0.0,0.0,0.0,0.0,0.0,1805.4,209.1,0.0,0.0,0.0,31.0,0.0,18.3,30.6,0.0,0.0,25.08,28.1,22.06,2.0
USC00512146,1900-11-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",19.0,9.0,3.0,138.4,287.0,0.0,0.0,0.0,0.0,0.0,1962.1,156.7,0.0,0.0,0.0,30.0,0.0,18.3,28.9,0.0,0.0,23.56,26.02,21.09,2.0
USC00512146,1900-12-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",12.0,4.0,0.0,16.0,42.6,0.0,0.0,0.0,0.0,0.0,2089.1,127.0,0.0,0.0,0.0,31.0,0.0,12.8,27.8,0.3,0.3,22.42,25.55,19.29,2.0
USC00512146,1901-01-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",15.0,6.0,1.0,31.8,79.1,0.0,0.0,0.0,0.0,0.0,109.8,109.8,0.0,0.0,0.0,30.0,0.0,15.6,26.7,0.3,0.0,21.99,25.15,18.83,2.0
USC00512146,1901-02-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",18.0,9.0,3.0,72.9,202.3,0.0,0.0,0.0,0.0,0.0,169.2,59.4,0.0,0.0,0.0,28.0,0.0,12.2,25.6,1.4,1.1,20.42,23.85,16.98,2.0
USC00512146,1901-03-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",25.0,12.0,0.0,16.0,105.0,0.0,0.0,0.0,0.0,0.0,297.6,128.4,0.0,0.0,0.0,31.0,0.0,15.6,28.3,1.4,0.0,22.48,25.17,19.78,2.0
USC00512146,1901-04-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",18.0,7.0,0.0,18.3,79.2,0.0,0.0,0.0,0.0,0.0,441.2,143.6,0.0,0.0,0.0,30.0,0.0,16.7,27.8,1.4,0.0,23.12,26.35,19.89,2.0
USC00512146,1901-05-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",20.0,6.0,1.0,26.2,82.3,0.0,0.0,0.0,0.0,0.0,623.0,181.8,0.0,0.0,0.0,31.0,0.0,17.8,28.9,1.4,0.0,24.2,27.96,20.43,2.0
USC00512146,1901-07-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",25.0,5.0,0.0,10.7,39.2,0.0,0.0,0.0,0.0,0.0,98.3,229.5,0.0,0.0,0.0,31.0,0.0,19.4,29.4,0.0,0.0,25.74,28.83,22.65,2.0
USC00512146,1901-08-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",19.0,4.0,0.0,6.4,26.7,0.0,0.0,0.0,0.0,0.0,98.3,235.7,0.0,0.0,0.0,30.0,0.0,19.4,31.1,0.0,0.0,26.18,29.46,22.89,2.0
USC00512146,1901-09-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",17.0,4.0,0.0,3.0,21.6,0.0,0.0,0.0,0.0,0.0,98.3,213.7,0.0,0.0,0.0,30.0,0.0,18.9,30.0,0.0,0.0,25.46,28.96,21.95,2.0
USC00512146,1901-10-01,21.3,-157.83333,14.9,"H S P A EXPERIMENTAL STATION 707, HI US",22.0,6.0,1.0,70.9,105.5,0.0,0.0,0.0,0.0,0.0,98.3,191.5,0.0,0.0,0.0,31.0,0.0,18.9,28.3,0.0,0.0,24.51,27.71,21.32,2.0
